ID Number,Project Name,Year Reported,"Brief Habitat Description (sources of impacts, significant features, site uses, etc.)",Project Description,GPRA Habitat Type (more complex),Habitat Type (basic ESA categories)(existing databases),HMPU Habitat Type for Restoration,Restoration Technique (GPRA dropdown menu),GPRA Activity (slightly more complex),Basic Activity (Enhance/Rest),"Previously Reported (same location, different technique) (Yes/No dropdown menu)?",Acres,Linear Miles,Linear Feet,"Latitude (decimal degrees, minimum 3 decimals)","Longitude (decimal degrees, minimum 3 decimals)","Lead Partner/Implementor (please spell out everything, no acronyms)","Other Partners (please spell out everything, no acronyms)",Site Ownership,Total Project Cost (best guess),Donated Land at no cost (Yes/No dropdown menu),Primary Funding Source,Project Benefits (dropdown menu),Photo 1 (Before) Credit,Photo 1 (Before) Caption,Photo 2 (During) Credit,Photo 2 (During) Caption,Photo 3 (After) Credit,Photo 3 (After) Caption,Project Completion Date (month/year) (start date prior to 2020),TBEP Notes,Oyster?
R-065,Wolf Branch Creek 1,2001,,"estuarine wetlands, open water, tidal creek, freshwater wetlands and uplands",,"Mix (estuarine, freshwater, and upland)",,"estuarine wetlands, open water, tidal creek, freshwater wetlands and uplands",,Restoration,,181,,,27.74195,-82.44072,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-066,Wolf Branch Creek 2,2001,,re-establish tidal flow to estuarine wetlands -enhancement only,,Estuarine,,re-establish tidal flow to estuarine wetlands -enhancement only,,Restoration,,134,,,27.74651,-82.44698,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-050,Cypress Point Park Restoration,2002,,Coastal upland enhancement,,Upland,,,,Enhancement,,12.7,,,27.95087,-82.5418,City of Tampa,,,,,,,,,,,,,,,
E-051,Dog Leg Key,2002,,Planting of Spartina alterniflora,,Estuarine,,Planting of Spartina alterniflora,,Enhancement,,0.01,,,27.80226,-82.76168,FDEP Aquatic Preserves,,,,,,,,,,,,,,,
E-052,E.G. Simmons Park Salt Marsh Restoration: Phase 1,2002,,Planting of Spartina alterniflora,,Estuarine,,,,Enhancement,,1.5,,,27.9731,-82.5736,Tampa Bay Watch,NOAA,,,,,,,,,,,,,,
E-053,Mckay Bay Nature Park,2002,,"Upland restoration, exotic restoration",,Upland,,,,Enhancement,,5,,,27.9494,-82.41815,City of Tampa Parks and Recreation Department,,,,,,,,,,,,,,,
E-054,Rocky/Brushy (Sheldon Road at Memorial Highway),2002,,Establishment of brackist forested wetland,,Estuarine,,Control of exotics/invasive plants as Maintenance,,Enhancement,,62,,,27.99967,-82.58379,Hillsborough County,,,,,,,,,,,,,,,
E-055,Tarpon Key Salt Marsh Restoration,2002,,intertidal wetland along shoreline of Southwest side of island,,Estuarine,,habitat establishment-Spartina alterniflora planted,,Enhancement,,2.5,,,27.66561,-82.69107,USFWS,,,,,,,,,,,,,,,
E-056,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 1,2002,,"restoration of coastal uplands by clearing, mulching, planting, invasive removal and replanting along Terra Ceia Bay",,Upland,,"Exotic removal, planting",,Enhancement,,121.3,,,27.59717,-82.54755,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-057,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 2,2002,,"Exotic removal, planting",,Upland,,"Exotic removal, planting",,Enhancement,,28,,,27.58768,-82.5689,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-058,Whiskey Stump Key Salt Marsh Restoration,2002,,Erosion control,,Estuarine,,Planting of Spartina alterniflora,,Enhancement,,0.01,,,27.8142,-82.4019,Audubon of Florida,,,,,,,,,,,,,,,
LS-007,Green Key 1,2002, ,"Oyster bar creation, Control erosion,",,Estuarine,,,,Restoration,,,,300,27.81842,-82.39972,Audubon of Florida, ,,0,, ,Oyster bar creation,,,,,,, ,,x
LS-008,Whiskey Stump Key 1,2002, ,oyster shell reefs built along shoreline,,Estuarine,,,,Restoration,,,,300,27.81488,-82.402,Audubon of Florida, ,,0,, ,Creation of oyster habitat (oyster shell reef),,,,,,, ,,
R-067,Davis Tract ,2002,,estuarine open water and wetlands and uplands,,Mix (estuarine and upland),,"Regrading, planting",,Restoration,,60,,,27.82913,-82.38796,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-059,Cockroach Bay Island Exotic Plant Removal,2003,,primarily planting of estuarine and upland plants,,Upland,,,,Enhancement,,50,,,27.683,-82.508,Hillsborough County Environmental Lands and Acquisition,,,,,,,,,,,,,,,
E-060,E.G. Simmons Park Salt Marsh Restoration: Phase 2,2003,,Planting of Spartina alterniflora,,Estuarine,,,,Enhancement,,1,,,27.7333,-82.4667,Tampa Bay Watch,,,,,,,,,,,,,,,
E-061,Ft. DeSoto Park Campground Salt Marsh Restoration,2003,,Planting of Spartina alterniflora,,Estuarine,,"Substrate modification, planting",,Enhancement,,2,,,27.6367,-82.7203,Tampa Bay Watch,,,,,,,,,,,,,,,
LS-009,Al Palonis Park Oyster Restoration,2003, ,Oyster shell reefs built along shoreline,,Estuarine,,,,Restoration,,,,750,27.89274,-82.54082,Tampa Bay Watch,NOAA,,0,, ,Creation of oyster habitat (oyster shell reef),,,,,,, ,,x
LS-010,Demen's Landing,2003, ,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,Estuarine,,,,Restoration,,,,490,27.76983,-82.63218,Tampa Bay Watch, ,,0,, ,Creation of oyster habitat (oyster dome),,,,,,, ,,x
LS-011,Vinoy Basin Northeast,2003, ,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,Estuarine,,,,Restoration,,,,1500,27.77741,-82.62769,Tampa Bay Watch, ,,0,, ,Creation of oyster habitat (oyster dome),,,,,,, ,,x
LS-012,Bayshore Boulevard: Phase 1,2003, ,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,Estuarine,,,,Restoration,,,,100,27.87426,-82.48695,Tampa Bay Watch, ,,0,, ,Creatin of oyster habitat (oyster dome),,,,,,, ,,x
LS-013,Green Key 2,2003, ,oyster shell reefs built along shoreline,,Estuarine,,,,Restoration,,,,200,27.81935,-82.39882,Audubon of Florida, ,,0,, ,Creation of oyster habitat (oyster shell reef),,,,,,, ,,x
R-068,Cockroach Bay Freshwater Wetlands,2003,,"Creation of freshwater wetland, in part FDOT mitigation",,Freshwater,,"Substrate modification, planting",,Restoration,,25,,,27.68984,-82.50751,Hillsborough County Expressway Authority,,,,,,,,,,,,,,,
R-069,Joe's Creek School Site,2003,,"exotic removal (Brazilian pepper), hydrological restoration",,Estuarine,,"Invasive Removal – Vegetation, Planting, Hydrological manipulation",,Restoration,,20,,,27.83163,-82.74779,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-070,Mangrove Bay Habitat Rehabilitation,2003,,"exotic removal (Brazilian pepper), restoration of intertidal wetlands along shoreline of Riviera Bay",,Estuarine,,Invasive Removal – Vegetation,,Restoration,,13,,,27.83333,-82.61667,City of St. Petersburg,,,,,,,,,,,,,,,
R-071,Tappan  Site,2003,,"Restoration of coastal uplands, freshwater wetlands and estuarine marsh areas",,"Mix (estuarine, freshwater, and upland)",,"Substrate modification, planting",,Restoration,,17,,,27.86948,-82.53375,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-062,Brooker Creek Preserve - Mt. Brooker exotics removal,2004,,"exotics removal (Brazilian pepper, air potato removed by spraying)",,Upland,,,,Enhancement,,100,,,28.06528,-82.675,Pinellas County,"Suncoast Grant (FDEP), NOAA",,21375,,,,,,,,,,,,
E-063,Cargill Park Salt Marsh Planting,2004,,marsh plants installed,,Estuarine,,,,Enhancement,,0.01,,,27.8644,-82.3824,Hillsborough County,,,,,,,,,,,,,,,
E-064,Davis Island Beach Boat Ramp,2004,,Planting of Spartina alterniflora,,Estuarine,,,,Enhancement,,0.5,,,27.91079,-82.44735,City of Tampa Parks and Recreation Department,TBW,,,,,,,,,,,,,,
E-065,North Parcel West A,2004,,"Parcel preservation and site specific land management plan, to restore ditched oligohaline marsh areas and coastal upland communities",,Mix (estuarine and upland),,"Ditchblocks, prescribed burn, exotic plant species management, native tree and herb plantings",,Enhancement,,123.9,,,27.88994,-82.4034,Mosaic,,,,,,,,,,,,,,,
E-066,Riverview Center,2004,,marsh plants installed,,Freshwater,,,,Enhancement,,0.1,,,27.86721,-82.32595,FDEP,,,,,,,,,,,,,,,
E-067,Weedon Island Preserve Exotic Plant Removal,2004,,"exotic removal (Brazilian pepper, Australian Pine, Punk by spraying/burning)",,Estuarine,,"exotic removal (Brazilian pepper, Australian Pine, Punk by spraying/burning)",,Enhancement,,30,,,27.84698,-82.60949,Pinellas County,,,,,,,,,,,,,,,
E-068,Williams Park Salt Marsh Planting,2004,,Planting of Spartina alterniflora,,Estuarine,,Planting of Spartina alterniflora,,Enhancement,,0.01,,,27.8609,-82.3851,Hillsborough County Parks & Recreation,,,,,,,,,,,,,,,
LS-014,Davis Island Beach Boat Ramp,2004, ,Planting of Spartina alterniflora,,Estuarine,,,,Enhancement,,,,100,27.91007,-82.4472,City of Tampa Parks and Recreation Department,TBW,,0,, , ,,,,,,, ,,
LS-015,Ballast Point Habitat Restoration,2004, ,Oyster bars: reef placed along 200' of shoreline for oyster growth,,Estuarine,,,,Restoration,,,,200,27.88902,-82.48064,Tampa Bay Watch, ,,0,, ,"Substrate modification, planting",,,,,,, ,,x
LS-016,Coffee Pot Bayou,2004, ,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,Estuarine,,,,Restoration,,,,150,27.79968,-82.63347,Tampa Bay Watch, ,,0,, ,Creation of oyster habitat (oyster dome),,,,,,, ,,x
LS-017,Cunningham Key Oyster Dome Project,2004, ,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,Estuarine,,,,Restoration,,,,100,27.65456,-82.71814,Tampa Bay Watch, ,,0,, ,Creation of oyster habitat (oyster dome),,,,,,, ,,x
LS-018,Fantasy Island,2004, ,Oyster shell reefs built along shoreline,,Estuarine,,,,Restoration,,,,144,27.86826,-82.42605,TPA, ,,0,, ,Creation of oyster habitat (oyster shell reef),,,,,,, ,,x
LS-019,MacDill Air Force Base Oyster Dome: Phase 1,2004, ,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,Estuarine,,,,Restoration,,,,700,27.82048,-82.47757,Tampa Bay Watch, ,,0,, ,Creation of oyster habitat (oyster dome),,,,,,, ,,x
R-072,Apollo Beach,2004,,restoration of estuarine open water/wetlands and uplands,,Mix (estuarine and upland),,restoration of estuarine open water/wetlands and uplands,,Restoration,,37,,,27.79006,-82.4167,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-073,Balm Road Marsh,2004,,restoration of freshwater wetlands and uplands,,Mix (freshwater and upland),,"Excavation, Exotic removal, planting",,Restoration,,49,,,27.74325,-82.29232,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-074,Cockroach Bay: Freshwater Wetlands,2004,,create freshwater wetlands - part of a 30 acre FDOT mitigation project,,Freshwater,,"Substrate modification, planting",,Restoration,,22,,,27.68596,-82.50667,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-075,Fred & Idah Schultz Preserve (Port Redwing),2004,,"restoration of estuarine open water/wetlands, freshwater wetlands, and coastal uplands",,"Mix (estuarine, freshwater, and upland)",,"restoration of estuarine open water/wetlands, freshwater wetlands, and coastal uplands",,Restoration,,120,,,27.81196,-82.39164,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-076,Ft. Desoto Circulation Project,2004,,restored tidal currents to estuarine islands/lagoons for water quality enhancement,,Estuarine,,restored tidal currents to estuarine islands/lagoons for water quality enhancement,,Restoration,,200,,,27.62547,-82.71544,Pinellas County,,,,,,,,,,,,,,,
R-077,Gateway Tract,2004,,estuarine wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,110,,,27.88899,-82.65397,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-078,Wolf Branch Creek Uplands,2004,,restoration of coastal uplands,,Upland,,restoration of coastal uplands,,Restoration,,281,,,27.7469,-82.43673,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-069,Alafia River Boat Ramp,2005,,Removal of exotic vegetation ,,Estuarine,,Removal of exotic vegetation ,,Enhancement,,1,,,27.8603,-82.38442,Hillsborough County Parks & Recreation,,,,,,,,,,,,,,,
E-070,Alderman's Ford Park,2005,,Invasive Removal - Vegetation,,Freshwater,,Invasive Removal _ Vegetation,,Enhancement,,75,,,27.86261,-82.14458,Hillsborough County Parks & Recreation,,,,,,,,,,,,,,,
E-071,Brooker Creek Preserve-Flatwoods Restoration,2005,,palmetto reduction to increase flora/fauna diversity: rollerchopped areas,,Upland,,,,Enhancement,,26,,,28.12528,-82.655,Pinellas County,,,,,,,,,,,,,,,
E-072,Cockroach Bay Tidal Creek Marsh Planting,2005,,Planting of Spartina alterniflora,,Estuarine,,,,Enhancement,,4.6,,,27.6765,-82.5151,Tampa Bay Watch,,,,,,,,,,,,,,,
E-073,CSX MacDill/Port Tampa,2005,,"exotic removal (Brazilian pepper), restore mosquito ditches (project in planning phase)",,Estuarine,,,,Enhancement,,220,,7920,27.94809,-82.4248,Hillsborough County,City of Tampa,,220000,,,,,,,,,,,,
E-074,Largo Central Park,2005,,freshwater wetlands and uplands,,Mix (freshwater and upland),,freshwater wetlands and uplands,,Enhancement,,22.5,,,27.91383,-82.77686,City of Largo,"SWFWMD-SWIM, USEPA, FPC, PCEF, Shell ",,425000,,,,,,,,,,,,
E-075,North Parcel East A,2005,,"Remove brazilian pepper thickets, restore natural hydrology, and promote native plant community development in historically connected freshwater wetland",,Freshwater,,"Ditchblocks, exotic species mulching and herbicide treatment, native tree planting",,Enhancement,,12.8,,,27.88977,-82.39888,Mosaic,,,,,,,,,,,,,,,
E-076,North Parcel West B,2005,,"Parcel preservation and site specific land management plan, to control exotic species coverage preserve native habitats.",,Freshwater,,"prescribed burn, exotic plan species control.",,Enhancement,,123.9,,,27.88181,-82.39783,Mosaic,,,,,,,,,,,,,,,
E-077,Pinellas County Adopt-A-Pond Pilot Project,2005,,freshwater pond planting,,Freshwater,,,,Enhancement,,10.159,,,27.8958,-82.7083,Pinellas County Department of Environmental Management,,,,,,,,,,,,,,,
E-078,Tampa Bay Oil Spill - Pinellas County (War Veterans Memorial Park Oyster Reef),2005,,marsh plants installed,,Estuarine,,,,Enhancement,,0.4,,,27.80228,-82.77444,Pinellas County,,,,,,,,,,,,,,,
E-079,Tampa Bay Oil Spill - Treasure Island Dune Vegetation Restoration,2005,,marsh plants installed,,Upland,,,,Enhancement,,0.9,,,27.755,-82.7649,FDEP Aquatic Preserves,,,,,,,,,,,,,,,
E-080,Upper Tampa Bay Park,2005,,"Removal of exotic vegetation - Brazilian pepper, Melaluca, Chinese tallow",,Freshwater,,"Removal of exotic vegetation - Brazilian pepper, Melaluca, Chinese tallow",,Enhancement,,75,,,28.01691,-82.6324,Hillsborough County Parks & Recreation,,,,,,,,,,,,,,,
LS-020,Rowlett Park,2005, ,"Removed Brazilian pepper, planted native trees and shrubs",,Freshwater,,,,Enhancement,,,,250,28.02334,-82.43129,City of Tampa, ,,0,, , ,,,,,,, ,,
LS-021,Davis Tract (Kitchen Nature Preserve) Oyster Restoration,2005, ,Oyster cultch placement,,Estuarine,,,,Restoration,,,,500,27.83207,-82.38778,Tampa Bay Watch, ,,0,, ,"Substrate modification, planting",,,,,,, ,,x
LS-022,Little Bird Key National Wildlife Refuge,2005, ,Oyster shell reefs built along shoreline,,Estuarine,,,,Restoration,,,,200,27.68535,-82.71722,USFWS, ,,0,, ,Creation of oyster habitat (oyster shell reef),,,,,,, ,,x
LS-023,Mosaic Process Water Discharge - Hillsborough Bay Oyster Pilot Project,2005, ,Shoreline improvement,,Estuarine,,,,Restoration,,,,500,27.86787,-82.42519,NOAA, ,,0,, , ,,,,,,, ,,
LS-024,War Vets Oyster Bar Restoration,2005, ,Construction of oyster reef west of War Veteran's Mem. Park,,Estuarine,,,,Restoration,,,,600,27.80168,-82.77528,Pinellas County, ,,0,, ,Construction of oyster reef west of War Veteran's Mem. Park,,,,,,, ,,x
LS-025,MacDill Air Force Base Oyster Reef: Phase 2,2005, ,oyster shell reefs built along shoreline,,Estuarine,,,,Restoration,,,,700,27.82061,-82.47515,Tampa Bay Watch, ,,0,, ,Creation of oyster habitat (oyster dome),,,,,,, ,,x
LS-026,Bayshore Boulevard: Phase 2,2005, ,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,Estuarine,,,,Restoration,,,,100,27.89489,-82.4858,Tampa Bay Watch, ,,0,, ,Creation of oyster habitat (oyster dome),,,,,,, ,,x
LS-027,Whiskey Stump Key 2,2005, ,Rebuild and enlarge oyster shell reefs built along shoreline,,Estuarine,,,,Restoration,,,,300,27.81347,-82.40214,Audubon of Florida, ,,0,, ,Creation of oyster habitat (oyster shell reef),,,,,,, ,,x
R-079,Brooker Creek Channel F,2005,,freshwater wetlands and enhancement of watershed,,Freshwater,,"Excavation, planting",,Restoration,,0.2,,,28.07832,-82.67618,SWFWMD-SWIM,Pinellas County,,1001440,,,,,,,,,,,,
R-080,Brooker Creek Channel L,2005,,freshwater wetlands and enhancement of watershed,,Freshwater,,"Excavation, planting",,Restoration,,4,,,28.11903,-82.65332,SWFWMD-SWIM,Pinellas County,,919590,,,,,,,,,,,,
R-081,Clam Bayou Salt Marsh Restoration,2005,,regrading of slopes and marsh planting,,Estuarine,,,,Restoration,,6,,,27.7414,-82.6914,Tampa Bay Watch,,,,,,,,,,,,,,,
R-082,Cockroach Bay: Braided Tidal Creek,2005,,created braided tidal creek that eventually will connect to a freshwater source,,Estuarine,,"Substrate modification, planting",,Restoration,,11.5,,,27.69195,-82.50678,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-083,Cockroach Bay: Uplands Final Phase,2005,,coastal pine flatwoods,,Upland,,"Substrate modification, planting",,Restoration,,69,,,27.68541,-82.50991,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-084,Lancaster Tract (Allen's Creek),2005,,"Intertidal wetland establishment (4 ac); shoreline enhancement (2 ac), exotic species removal (2 ac); ",,Estuarine,,"Substrate modification, planting",,Restoration,,14,,,27.93133,-82.7382,SWFWMD-SWIM,PCDEM,,600000,,,,,,,,,,,,
R-085,Little Bayou Habitat Restoration Project: Phase 2,2005,,"Phase II: seawall removed and upland field removed.  Creation of saltwater wetland, low salinity open water estuarine creek, lagoons, and wetlands",,Estuarine,,"Phase II: seawall removed and upland field removed.  Creation of saltwater wetland, low salinity open water estuarine creek, lagoons, and wetlands",,Restoration,,3,,,27.72063,-82.63255,City of St. Petersburg,,,,,,,,,,,,,,,
R-086,Marsh Creek,2005,,estuarine low salinity wetlands/tidal creek,,Estuarine,,"Substrate modification, planting",,Restoration,,9,,,27.71903,-82.43245,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-087,Weedon Island Exotic Removal and Saltern Restoration,2005,,"11 acres exotic removal, hydraulic restoration",,Estuarine,,"11 acres exotic removal, hydraulic restoration",,Restoration,,11,,,27.84698,-82.60948,Pinellas County,,,,,,,,,,,,,,,
E-081,Ben T. Davis Park,2006,,Planting with native vegetation,,Estuarine,,,,Enhancement,,,,200,27.9713,-82.58088,City of Tampa,,,,,,,,,,,,,,,
E-082,Brooker Creek Preserve-Education Center Restoration,2006,,vegetation planting,,Freshwater,,,,Enhancement,,2,,,28.13205,-82.65802,Pinellas County,,,51000,,,,,,,,,,,,
E-083,City of Clearwater Exotic and Invasive Species Project - Cliff Stephens,2006,,Invasive Removal – Vegetation,,Freshwater,,Invasive Removal – Vegetation,,Enhancement,,2,,,27.9744,-82.72257,City of Clearwater,"PCEF, NFWF",,35567,,,,,,,,,,,,
E-084,City of Clearwater Exotic and Invasive Species project - Northeast Coachman,2006,,Invasive Removal – Vegetation,,Freshwater,,Invasive Removal – Vegetation,,Enhancement,,17,,,27.97607,-82.73788,City of Clearwater,"PCEF, NFWF",,35567,,,,,,,,,,,,
E-085,City of Clearwater Exotic and Invasive Species Project - Winding Woods,2006,,Invasive Removal – Vegetation,,Freshwater,,Invasive Removal – Vegetation,,Enhancement,,15,,,28.01263,-82.72234,City of Clearwater,"PCEF, NFWF",,35567,,,,,,,,,,,,
E-086,Giants Camp Shoreline Restoration,2006,,Removal of old docks,,Estuarine,,,,Enhancement,,2,,2,27.857,-82.38559,Mosaic,,,,,,,,,,,,,,,
E-087,Mobbly Bayou Wilderness Preserve North Addition,2006,,Invasive Removal – Vegetation,,Estuarine,,Invasive Removal – Vegetation,,Enhancement,,5,,,28.02614,-82.66208,Pinellas County,City of Oldsmar,,213000,,,,,,,,,,,,
E-088,Moccasin Lake Park Restoration,2006,"Palustrine forested wetland, forest woodland",The Moccasin Lake Park Restoration project consist exotic vegetation removal. Vegetation removed will include Brazilizan pepper plants and trees and enhancement using native plants.,,Estuarine,,Invasives Control/Removal - Vegetation,,Enhancement,,45,,,27.97688,-82.72568,Pinellas County,,,,,,,,,,,,,,,
E-089,Palm River Park (McKay Bay Bike Trail),2006,,Planting with native vegetation,,Estuarine,,,,Enhancement,,,,100,27.94485,-82.4024,City of Tampa,,,,,,,,,,,,,,,
E-090,Rivercove Park,2006,,Planting with native vegetation,,Freshwater,,,,Enhancement,,,,100,28.01912,-82.44829,City of Tampa,,,,,,,,,,,,,,,
E-091,Riverside Garden Park,2006,,Planting with native vegetation,,Estuarine,,,,Enhancement,,,,500,27.96896,-82.47816,City of Tampa,,,,,,,,,,,,,,,
E-092,Tampa Bay Oil Spill - Ft. DeSoto Dune Restoration,2006,,marsh plants installed,,Upland,,,,Enhancement,,1.8,,,27.6195,-82.7198,Pinellas County,,,,,,,,,,,,,,,
E-093,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 3,2006,,restoration of coastal uplands,,Upland,,"Exotic removal, planting of natives, restoration of coastal uplands",,Enhancement,,217,,,27.58768,-82.5689,SWFWMD-SWIM,,,,,,,,,,,,,,,
LS-028,22nd Street Park,2006, ,Removed exotics and replanted,,Freshwater,,,,Enhancement,,,,450,28.02073,-82.43668,City of Tampa, ,,0,, , ,,,,,,, ,,
LS-029,Blackwater Hammock Park,2006, ,Planting with native vegetation,,Freshwater,,,,Enhancement,,,,100,28.02061,-82.42078,Hillsborough County, ,,0,, , ,,,,,,, ,,
LS-030,Sulphur Springs Park,2006, ,Planting with native vegetation,,Freshwater,,,,Enhancement,,,,400,28.02044,-82.45225,City of Tampa, ,,0,, , ,,,,,,, ,,
LS-031,Temple Crest Center Park,2006, ,Planting with native vegetation,,Freshwater,,,,Enhancement,,,,250,28.02474,-82.41948,City of Tampa, ,,0,, , ,,,,,,, ,,
LS-032,Ft. DeSoto 1,2006, ,Oyster shell reefs built along shoreline,,Estuarine,,,,Restoration,,,,480,27.63195,-82.72176,Tampa Bay Watch, ,,0,, ,Creation of oyster habitat (oyster shell reef),,,,,,, ,,x
