View_Detail,Federal_Fiscal_Year,Region,State_Code,NEP_Name,Project_Name,Project_Description,Habitat_Description,Habitat_Type,Restoration_Technique,Donated_Land,Data_Unavailable,EPA_Section_320,Total_Project_Cost,Project_Benefits,Activity_Name,Lead_Implementer,Partners,Main_Funding_Source,Site_Owner,Last_Updated_Date,NEP_Comments,HQ_Comments,HQ_Status,Region_Status,Total_Cost,Author,Submitter_Email,PrimaryHabitat,SecondaryHabitat,Acres,Miles,Latitude,Longitude,Feet,ID_Number,GeneralHabitat,GeneralActivity,BeforePhotoCredit,BeforePhotoCaption,DuringPhotoCredit,DuringPhotoCaption,AfterPhotoCredit,AfterPhotoCaption,TBEP_Notes
,1999,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay: Phase 1A2,"create estuarine open water channels, lagoon, marshes, and some uplands",,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,55.8,,27.69444,-82.50737,,R-053,Mix (estuarine and upland),Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Coopers Point,estuarine open water and wetlands,,,"Substrate modification, planting",,,,200000,,,SWFWMD-SWIM,City of Clearwater,,,,,,,,,,,,,10,,27.96861,-82.69359,,R-054,Estuarine,Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Coquina Key Park,Exotic removal,,,,,,,,,,City of St. Petersburg Parks Department,,,,,,,,,,,,,,1,,27.73741,-82.63113,,E-039,Estuarine,Enhancement,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Desoto Park And Trailer Park In NW McKay Bay,primarily a stormwater improvement project but some native plants installed,,,,,,,,,,City of Tampa,SWFWMD,,,,,,,,,,,,,1,,27.94755,-82.42834,,E-040,Estuarine,Enhancement,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Emerson Point: Phase 2,low salinity estuarine wetlands and estuarine wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,5,,27.53394,-82.62577,,R-055,Estuarine,Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Lake Thonotosassa Project,"Excavation, Planting of native species",,,"Excavation, Planting of native species",,,,,,,SWFWMD,"EPCHC, FDEP",,,,,,,,,,,,,80,,28.054,-82.26881,,R-056,Freshwater,Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,MacDill Air Force Base: Phase 2,"low salinity, estuarine wetlands, open water and uplands",,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,32.6,,27.82221,-82.47964,,R-057,Mix (estuarine and upland),Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Rivercrest Park,Living shoreline/breakwater with native vegetation to protect shoreline,,,,,,,0,,,City of Tampa,,,,,,,,,,,,,,,,27.99616,-82.46534,800,LS-006,Estuarine,Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Rocky/Brushy (Sheldon Road off Sheldon north of Fountain Avenue),Establishment of freshwater forested wetland,,,Control of exotics/invasive plants as Maintenance,,,,,,,Hillsborough County,,,,,,,,,,,,,,0.96,,28.01178,-82.58063,,E-041,Freshwater,Enhancement,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,South Skyway,estuarine wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,3,,27.58402,-82.59946,,R-058,Estuarine,Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Tampa Bay Oil Spill - Boca Ciega Bay (Bird Island Salt Marsh Planting),marsh plants installed,,,,,,,,,,NOAA,,,,,,,,,,,,,,0.1,,27.7965,-82.7665,,E-042,Estuarine,Enhancement,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Tampa Bay Oil Spill - Boca Ciega Bay (Cross Bayou Mangrove Restoration),marsh plants installed,,,,,,,,,,NOAA,,,,,,,,,,,,,,4.8,,27.835,-82.76,,E-043,Estuarine,Enhancement,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Tampa Bay Oil Spill - Boca Ciega Bay (Turtle Crawl Point Saltmarsh Planting),Planting of Spartina alterniflora,,,,,,,,,,NOAA,,,,,,,,,,,,,,1.5,,27.7997,-82.7712,,E-044,Estuarine,Enhancement,,,,,,,
,2000,Region 4,FL,Tampa Bay Estuary Program,Braden River: Phase 1 (SR64),estuarine wetlands - low salinity,,,"Excavation, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,10,,27.49809,-82.52193,,R-059,Estuarine,Restoration,,,,,,,
,2000,Region 4,FL,Tampa Bay Estuary Program,Clam Bayou (Osgood Point): Phase 2,estuarine open water and wetlands and some low salinity,,,"Substrate modification, planting of Spartina",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,10,,27.74507,-82.68789,,R-060,Estuarine,Restoration,,,,,,,
,2000,Region 4,FL,Tampa Bay Estuary Program,Palmetto Estuary,"estuarine wetlands, low salinity wetlands and uplands",,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,Ecosphere Restoration Institute,,,,,,,,,,,,,26,,27.51161,-82.56415,,R-061,Mix (estuarine and upland),Restoration,,,,,,,
,2000,Region 4,FL,Tampa Bay Estuary Program,Peri Island Salt Marsh Restoration,marsh plants installed,,,,,,,,,,Tampa Bay Watch,,,,,,,,,,,,,,1,,27.8108,-82.7954,,E-045,Estuarine,Enhancement,,,,,,,
,2000,Region 4,FL,Tampa Bay Estuary Program,Spoil Island Boca Ciega Bay Salt Marsh Restoration,Planting of Spartina alterniflora,,,,,,,,,,Tampa Bay Watch,,,,,,,,,,,,,,1,,27.816,-82.7981,,E-046,Estuarine,Enhancement,,,,,,,
,2001,Region 4,FL,Tampa Bay Estuary Program,Davis Tract Salt Marsh Restoration,regrading of slopes and marsh planting,,,,,,,,,,Tampa Bay Watch,,,,,,,,,,,,,,7,,27.8346,-82.3957,,R-062,Estuarine,Restoration,,,,,,,
,2001,Region 4,FL,Tampa Bay Estuary Program,Fort Brooke Park Shoreline Restoration,"dock and warf removal, shoreline restoration revegetated with wetland and coastal habitat plants",,,,,,,,,,City of Tampa,SWFWMD,,,,,,,,,,,,,1,,27.94722,-82.45833,,R-063,Estuarine,Restoration,,,,,,,
,2001,Region 4,FL,Tampa Bay Estuary Program,Fort Brooke Salt Marsh Restoration,Planting of Spartina alterniflora,,,,,,,,,,City of Tampa,"NOAA, TBW, SWFWMD-SWIM",,,,,,,,,,,,,0.5,,27.9417,-82.4583,,E-047,Estuarine,Enhancement,,,,,,,
,2001,Region 4,FL,Tampa Bay Estuary Program,Grandview Park,Exotic removal,,,,,,,,,,City of St. Petersburg Parks Department,,,,,,,,,,,,,,2.5,,27.73646,-82.64011,,E-048,Estuarine,Enhancement,,,,,,,
,2001,Region 4,FL,Tampa Bay Estuary Program,MacDill Airforce Base Salt Marsh Restoration,Planting of Spartina alterniflora,,,,,,,,,,Tampa Bay Watch,,,,,,,,,,,,,,3,,27.8215,-82.4747,,E-049,Estuarine,Enhancement,,,,,,,
,2001,Region 4,FL,Tampa Bay Estuary Program,Red Maple Swamp (Allen's Creek),Excavation and re-establishment of marsh,,,"Excavation, Planting of native species",,,,,,,City of Clearwater,"SWIM, PCDEM",,,,,,,,,,,,,8.2,,27.95023,-82.75122,,R-064,Freshwater,Restoration,,,,,,,
,2001,Region 4,FL,Tampa Bay Estuary Program,Wolf Branch Creek 1,"estuarine wetlands, open water, tidal creek, freshwater wetlands and uplands",,,"estuarine wetlands, open water, tidal creek, freshwater wetlands and uplands",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,181,,27.74195,-82.44072,,R-065,"Mix (estuarine, freshwater, and upland)",Restoration,,,,,,,
,2001,Region 4,FL,Tampa Bay Estuary Program,Wolf Branch Creek 2,re-establish tidal flow to estuarine wetlands -enhancement only,,,re-establish tidal flow to estuarine wetlands -enhancement only,,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,134,,27.74651,-82.44698,,R-066,Estuarine,Restoration,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Cypress Point Park Restoration,Coastal upland enhancement,,,,,,,,,,City of Tampa,,,,,,,,,,,,,,12.7,,27.95087,-82.5418,,E-050,Upland,Enhancement,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Davis Tract,estuarine open water and wetlands and uplands,,,"Regrading, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,60,,27.82913,-82.38796,,R-067,Mix (estuarine and upland),Restoration,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Dog Leg Key,Planting of Spartina alterniflora,,,Planting of Spartina alterniflora,,,,,,,FDEP Aquatic Preserves,,,,,,,,,,,,,,0.01,,27.80226,-82.76168,,E-051,Estuarine,Enhancement,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,E.G. Simmons Park Salt Marsh Restoration: Phase 1,Planting of Spartina alterniflora,,,,,,,,,,Tampa Bay Watch,NOAA,,,,,,,,,,,,,1.5,,27.9731,-82.5736,,E-052,Estuarine,Enhancement,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Green Key 1,"Oyster bar creation, Control erosion,",,,,,,,0,Oyster bar creation,,Audubon of Florida,,,,,,,,,,,,,,,,27.81842,-82.39972,300,LS-007,Estuarine,Restoration,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Mckay Bay Nature Park,"Upland restoration, exotic restoration",,,,,,,,,,City of Tampa Parks and Recreation Department,,,,,,,,,,,,,,5,,27.9494,-82.41815,,E-053,Upland,Enhancement,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Rocky/Brushy (Sheldon Road at Memorial Highway),Establishment of brackist forested wetland,,,Control of exotics/invasive plants as Maintenance,,,,,,,Hillsborough County,,,,,,,,,,,,,,62,,27.99967,-82.58379,,E-054,Estuarine,Enhancement,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Tarpon Key Salt Marsh Restoration,intertidal wetland along shoreline of Southwest side of island,,,habitat establishment-Spartina alterniflora planted,,,,,,,USFWS,,,,,,,,,,,,,,2.5,,27.66561,-82.69107,,E-055,Estuarine,Enhancement,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 1,"restoration of coastal uplands by clearing, mulching, planting, invasive removal and replanting along Terra Ceia Bay",,,"Exotic removal, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,121.3,,27.59717,-82.54755,,E-056,Upland,Enhancement,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 2,"Exotic removal, planting",,,"Exotic removal, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,28,,27.58768,-82.5689,,E-057,Upland,Enhancement,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Whiskey Stump Key 1,oyster shell reefs built along shoreline,,,,,,,0,Creation of oyster habitat (oyster shell reef),,Audubon of Florida,,,,,,,,,,,,,,,,27.81488,-82.402,300,LS-008,Estuarine,Restoration,,,,,,,
,2002,Region 4,FL,Tampa Bay Estuary Program,Whiskey Stump Key Salt Marsh Restoration,Erosion control,,,Planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,0.01,,27.8142,-82.4019,,E-058,Estuarine,Enhancement,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Al Palonis Park Oyster Restoration,Oyster shell reefs built along shoreline,,,,,,,0,Creation of oyster habitat (oyster shell reef),,Tampa Bay Watch,NOAA,,,,,,,,,,,,,,,27.89274,-82.54082,750,LS-009,Estuarine,Restoration,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Bayshore Boulevard: Phase 1,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,,,,,,0,Creatin of oyster habitat (oyster dome),,Tampa Bay Watch,,,,,,,,,,,,,,,,27.87426,-82.48695,100,LS-012,Estuarine,Restoration,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay Freshwater Wetlands,"Creation of freshwater wetland, in part FDOT mitigation",,,"Substrate modification, planting",,,,,,,Hillsborough County Expressway Authority,,,,,,,,,,,,,,25,,27.68984,-82.50751,,R-068,Freshwater,Restoration,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay Island Exotic Plant Removal,primarily planting of estuarine and upland plants,,,,,,,,,,Hillsborough County Environmental Lands and Acquisition,,,,,,,,,,,,,,50,,27.683,-82.508,,E-059,Upland,Enhancement,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Demen's Landing,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,,,,,,0,Creation of oyster habitat (oyster dome),,Tampa Bay Watch,,,,,,,,,,,,,,,,27.76983,-82.63218,490,LS-010,Estuarine,Restoration,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,E.G. Simmons Park Salt Marsh Restoration: Phase 2,Planting of Spartina alterniflora,,,,,,,,,,Tampa Bay Watch,,,,,,,,,,,,,,1,,27.7333,-82.4667,,E-060,Estuarine,Enhancement,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Ft. DeSoto Park Campground Salt Marsh Restoration,Planting of Spartina alterniflora,,,"Substrate modification, planting",,,,,,,Tampa Bay Watch,,,,,,,,,,,,,,2,,27.6367,-82.7203,,E-061,Estuarine,Enhancement,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Green Key 2,oyster shell reefs built along shoreline,,,,,,,0,Creation of oyster habitat (oyster shell reef),,Audubon of Florida,,,,,,,,,,,,,,,,27.81935,-82.39882,200,LS-013,Estuarine,Restoration,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Joe's Creek School Site,"exotic removal (Brazilian pepper), hydrological restoration",,,"Invasive Removal – Vegetation, Planting, Hydrological manipulation",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,20,,27.83163,-82.74779,,R-069,Estuarine,Restoration,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Mangrove Bay Habitat Rehabilitation,"exotic removal (Brazilian pepper), restoration of intertidal wetlands along shoreline of Riviera Bay",,,Invasive Removal – Vegetation,,,,,,,City of St. Petersburg,,,,,,,,,,,,,,13,,27.83333,-82.61667,,R-070,Estuarine,Restoration,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Tappan  Site,"Restoration of coastal uplands, freshwater wetlands and estuarine marsh areas",,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,17,,27.86948,-82.53375,,R-071,"Mix (estuarine, freshwater, and upland)",Restoration,,,,,,,
,2003,Region 4,FL,Tampa Bay Estuary Program,Vinoy Basin Northeast,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,,,,,,0,Creation of oyster habitat (oyster dome),,Tampa Bay Watch,,,,,,,,,,,,,,,,27.77741,-82.62769,1500,LS-011,Estuarine,Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Apollo Beach,restoration of estuarine open water/wetlands and uplands,,,restoration of estuarine open water/wetlands and uplands,,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,37,,27.79006,-82.4167,,R-072,Mix (estuarine and upland),Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Ballast Point Habitat Restoration,Oyster bars: reef placed along 200' of shoreline for oyster growth,,,,,,,0,"Substrate modification, planting",,Tampa Bay Watch,,,,,,,,,,,,,,,,27.88902,-82.48064,200,LS-015,Estuarine,Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Balm Road Marsh,restoration of freshwater wetlands and uplands,,,"Excavation, Exotic removal, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,49,,27.74325,-82.29232,,R-073,Mix (freshwater and upland),Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve - Mt. Brooker exotics removal,"exotics removal (Brazilian pepper, air potato removed by spraying)",,,,,,,21375,,,Pinellas County,"Suncoast Grant (FDEP), NOAA",,,,,,,,,,,,,100,,28.06528,-82.675,,E-062,Upland,Enhancement,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Cargill Park Salt Marsh Planting,marsh plants installed,,,,,,,,,,Hillsborough County,,,,,,,,,,,,,,0.01,,27.8644,-82.3824,,E-063,Estuarine,Enhancement,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay: Freshwater Wetlands,create freshwater wetlands - part of a 30 acre FDOT mitigation project,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,22,,27.68596,-82.50667,,R-074,Freshwater,Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Coffee Pot Bayou,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,,,,,,0,Creation of oyster habitat (oyster dome),,Tampa Bay Watch,,,,,,,,,,,,,,,,27.79968,-82.63347,150,LS-016,Estuarine,Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Cunningham Key Oyster Dome Project,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,,,,,,0,Creation of oyster habitat (oyster dome),,Tampa Bay Watch,,,,,,,,,,,,,,,,27.65456,-82.71814,100,LS-017,Estuarine,Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Davis Island Beach Boat Ramp,Planting of Spartina alterniflora,,,,,,,,,,City of Tampa Parks and Recreation Department,TBW,,,,,,,,,,,,,0.5,,27.91079,-82.44735,,E-064,Estuarine,Enhancement,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Davis Island Beach Boat Ramp,Planting of Spartina alterniflora,,,,,,,0,,,City of Tampa Parks and Recreation Department,TBW,,,,,,,,,,,,,,,27.91007,-82.4472,100,LS-014,Estuarine,Enhancement,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Fantasy Island,Oyster shell reefs built along shoreline,,,,,,,0,Creation of oyster habitat (oyster shell reef),,TPA,,,,,,,,,,,,,,,,27.86826,-82.42605,144,LS-018,Estuarine,Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Fred & Idah Schultz Preserve (Port Redwing),"restoration of estuarine open water/wetlands, freshwater wetlands, and coastal uplands",,,"restoration of estuarine open water/wetlands, freshwater wetlands, and coastal",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,120,,27.81196,-82.39164,,R-075,"Mix (estuarine, freshwater, and upland)",Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Ft. Desoto Circulation Project,restored tidal currents to estuarine islands/lagoons for water quality enhancement,,,restored tidal currents to estuarine islands/lagoons for water quality enhance,,,,,,,Pinellas County,,,,,,,,,,,,,,200,,27.62547,-82.71544,,R-076,Estuarine,Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Gateway Tract,estuarine wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,110,,27.88899,-82.65397,,R-077,Estuarine,Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,MacDill Air Force Base Oyster Dome: Phase 1,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,,,,,,0,Creation of oyster habitat (oyster dome),,Tampa Bay Watch,,,,,,,,,,,,,,,,27.82048,-82.47757,700,LS-019,Estuarine,Restoration,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,North Parcel West A,"Parcel preservation and site specific land management plan, to restore ditched oligohaline marsh areas and coastal upland communities",,,"Ditchblocks, prescribed burn, exotic plant species management, native tree and",,,,,,,Mosaic,,,,,,,,,,,,,,123.9,,27.88994,-82.4034,,E-065,Mix (estuarine and upland),Enhancement,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Riverview Center,marsh plants installed,,,,,,,,,,FDEP,,,,,,,,,,,,,,0.1,,27.86721,-82.32595,,E-066,Freshwater,Enhancement,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Weedon Island Preserve Exotic Plant Removal,"exotic removal (Brazilian pepper, Australian Pine, Punk by spraying/burning)",,,"exotic removal (Brazilian pepper, Australian Pine, Punk by spraying/burning)",,,,,,,Pinellas County,,,,,,,,,,,,,,30,,27.84698,-82.60949,,E-067,Estuarine,Enhancement,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Williams Park Salt Marsh Planting,Planting of Spartina alterniflora,,,Planting of Spartina alterniflora,,,,,,,Hillsborough County Parks & Recreation,,,,,,,,,,,,,,0.01,,27.8609,-82.3851,,E-068,Estuarine,Enhancement,,,,,,,
,2004,Region 4,FL,Tampa Bay Estuary Program,Wolf Branch Creek Uplands,restoration of coastal uplands,,,restoration of coastal uplands,,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,281,,27.7469,-82.43673,,R-078,Upland,Restoration,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Alafia River Boat Ramp,Removal of exotic vegetation,,,Removal of exotic vegetation,,,,,,,Hillsborough County Parks & Recreation,,,,,,,,,,,,,,1,,27.8603,-82.38442,,E-069,Estuarine,Enhancement,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Alderman's Ford Park,Invasive Removal - Vegetation,,,Invasive Removal _ Vegetation,,,,,,,Hillsborough County Parks & Recreation,,,,,,,,,,,,,,75,,27.86261,-82.14458,,E-070,Freshwater,Enhancement,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Bayshore Boulevard: Phase 2,"Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines",,,,,,,0,Creation of oyster habitat (oyster dome),,Tampa Bay Watch,,,,,,,,,,,,,,,,27.89489,-82.4858,100,LS-026,Estuarine,Restoration,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Channel F,freshwater wetlands and enhancement of watershed,,,"Excavation, planting",,,,1001440,,,SWFWMD-SWIM,Pinellas County,,,,,,,,,,,,,0.2,,28.07832,-82.67618,,R-079,Freshwater,Restoration,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Channel L,freshwater wetlands and enhancement of watershed,,,"Excavation, planting",,,,919590,,,SWFWMD-SWIM,Pinellas County,,,,,,,,,,,,,4,,28.11903,-82.65332,,R-080,Freshwater,Restoration,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Brooker Creek Preserve-Flatwoods Restoration,palmetto reduction to increase flora/fauna diversity: rollerchopped areas,,,,,,,,,,Pinellas County,,,,,,,,,,,,,,26,,28.12528,-82.655,,E-071,Upland,Enhancement,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,CSX MacDill/Port Tampa,"exotic removal (Brazilian pepper), restore mosquito ditches (project in planning phase)",,,,,,,220000,,,Hillsborough County,City of Tampa,,,,,,,,,,,,,220,,27.94809,-82.4248,7920,E-073,Estuarine,Enhancement,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Clam Bayou Salt Marsh Restoration,regrading of slopes and marsh planting,,,,,,,,,,Tampa Bay Watch,,,,,,,,,,,,,,6,,27.7414,-82.6914,,R-081,Estuarine,Restoration,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay Tidal Creek Marsh Planting,Planting of Spartina alterniflora,,,,,,,,,,Tampa Bay Watch,,,,,,,,,,,,,,4.6,,27.6765,-82.5151,,E-072,Estuarine,Enhancement,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay: Braided Tidal Creek,created braided tidal creek that eventually will connect to a freshwater source,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,11.5,,27.69195,-82.50678,,R-082,Estuarine,Restoration,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay: Uplands Final Phase,coastal pine flatwoods,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,69,,27.68541,-82.50991,,R-083,Upland,Restoration,,,,,,,
,2005,Region 4,FL,Tampa Bay Estuary Program,Davis Tract (Kitchen Nature Preserve) Oyster Restoration,Oyster cultch placement,,,,,,,0,"Substrate modification, planting",,Tampa Bay Watch,,,,,,,,,,,,,,,,27.83207,-82.38778,500,LS-021,Estuarine,Restoration,,,,,,,
