"View_Detail","Federal_Fiscal_Year","Region","State_Code","NEP_Name","Project_Name","Project_Description","Habitat_Description","Habitat_Type","Restoration_Technique","Donated_Land","Data_Unavailable","Total_Project_Cost","Project_Benefits","Activity_Name","Lead_Implementer","Partners","Main_Funding_Source","Site_Owner","Last_Updated_Date","NEP_Comments","HQ_Comments","HQ_Status","Region_Status","Author","Submitter_Email","PrimaryHabitat","SecondaryHabitat","EPA_Section_320","Acres","Miles","Latitude","Longitude","Feet","ID_Number","GeneralHabitat","GeneralActivity","BeforePhotoCredit","BeforePhotoCaption","DuringPhotoCredit","DuringPhotoCaption","AfterPhotoCredit","AfterPhotoCaption"
NA,1998,"Region 4","FL","Tampa Bay Estuary Program","Mobbly Bayou: Phase 1","low salinity estuarine open water and wetlands","","","Substrate modification, planting","","","200000","","","SWFWMD-SWIM","City of Oldsmar","","","","","","","","","","","",NA,14,NA,28.02614,-82.66208,NA,"R-048","Estuarine","Restoration","","","","","",""
NA,1998,"Region 4","FL","Tampa Bay Estuary Program","Skyway Jacks","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,1,NA,27.70596,-82.68081,NA,"E-038","Estuarine","Maintenance","","","","","",""
NA,1998,"Region 4","FL","Tampa Bay Estuary Program","Weedon Island","planting of Spartina alterniflora","","","","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,0.1,NA,27.84698,-82.60949,NA,"R-049","Estuarine","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Boca Ciega: Phase 3","estuarine and freshwater wetlands","","","Excavation, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,2.5,NA,27.8325,-82.81256,NA,"R-050","Mix (estuarine and freshwater)","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Braden River: Phase 2 (SR70)","estuarine wetlands - low salinity","","","Excavation, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,10,NA,27.45025,-82.49113,NA,"R-051","Estuarine","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Cockroach Bay: Phase 1 Uplands","coastal uplands - mixed pine and harwood forest","","","Planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,45,NA,27.68937,-82.50339,NA,"R-052","Uplands","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Cockroach Bay: Phase 1A2","create estuarine open water channels, lagoon, marshes, and some uplands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,55.8,NA,27.69444,-82.50737,NA,"R-053","Mix (estuarine and upland)","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Coopers Point","estuarine open water and wetlands","","","Substrate modification, planting","","","200000","","","SWFWMD-SWIM","City of Clearwater","","","","","","","","","","","",NA,10,NA,27.96861,-82.69359,NA,"R-054","Estuarine","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Coquina Key Park","Exotic removal","","","","","","","","","City of St. Petersburg Parks Department","","","","","","","","","","","","",NA,1,NA,27.73741,-82.63113,NA,"E-039","Estuarine","Maintenance","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Desoto Park And Trailer Park In NW McKay Bay","primarily a stormwater improvement project but some native plants installed","","","","","","","","","City of Tampa","SWFWMD","","","","","","","","","","","",NA,1,NA,27.94755,-82.42834,NA,"E-040","Estuarine","Maintenance","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Emerson Point: Phase 2","low salinity estuarine wetlands and estuarine wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,5,NA,27.53394,-82.62577,NA,"R-055","Estuarine","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Lake Thonotosassa Project","Excavation, Planting of native species","","","Excavation, Planting of native species","","","","","","SWFWMD","EPCHC, FDEP","","","","","","","","","","","",NA,80,NA,28.054,-82.26881,NA,"R-056","Freshwater","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","MacDill Air Force Base: Phase 2","low salinity, estuarine wetlands, open water and uplands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,32.6,NA,27.82221,-82.47964,NA,"R-057","Mix (estuarine and upland)","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Rivercrest Park","Living shoreline/breakwater with native vegetation to protect shoreline","","","","","","0","","","City of Tampa","","","","","","","","","","","","",NA,NA,NA,27.99616,-82.46534,800,"LS-006","Estuarine","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Rocky/Brushy (Sheldon Road off Sheldon north of Fountain Avenue)","Establishment of freshwater forested wetland","","","Control of exotics/invasive plants as Maintenance","","","","","","Hillsborough County","","","","","","","","","","","","",NA,0.96,NA,28.01178,-82.58063,NA,"E-041","Freshwater","Maintenance","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","South Skyway","estuarine wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,3,NA,27.58402,-82.59946,NA,"R-058","Estuarine","Restoration","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Tampa Bay Oil Spill - Boca Ciega Bay (Bird Island Salt Marsh Planting)","marsh plants installed","","","","","","","","","NOAA","","","","","","","","","","","","",NA,0.1,NA,27.7965,-82.7665,NA,"E-042","Estuarine","Maintenance","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Tampa Bay Oil Spill - Boca Ciega Bay (Cross Bayou Mangrove Restoration)","marsh plants installed","","","","","","","","","NOAA","","","","","","","","","","","","",NA,4.8,NA,27.835,-82.76,NA,"E-043","Estuarine","Maintenance","","","","","",""
NA,1999,"Region 4","FL","Tampa Bay Estuary Program","Tampa Bay Oil Spill - Boca Ciega Bay (Turtle Crawl Point Saltmarsh Planting)","Planting of Spartina alterniflora","","","","","","","","","NOAA","","","","","","","","","","","","",NA,1.5,NA,27.7997,-82.7712,NA,"E-044","Estuarine","Maintenance","","","","","",""
NA,2000,"Region 4","FL","Tampa Bay Estuary Program","Braden River: Phase 1 (SR64)","estuarine wetlands - low salinity","","","Excavation, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,10,NA,27.49809,-82.52193,NA,"R-059","Estuarine","Restoration","","","","","",""
NA,2000,"Region 4","FL","Tampa Bay Estuary Program","Clam Bayou (Osgood Point): Phase 2","estuarine open water and wetlands and some low salinity","","","Substrate modification, planting of Spartina","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,10,NA,27.74507,-82.68789,NA,"R-060","Estuarine","Restoration","","","","","",""
NA,2000,"Region 4","FL","Tampa Bay Estuary Program","Palmetto Estuary","estuarine wetlands, low salinity wetlands and uplands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","Ecosphere Restoration Institute","","","","","","","","","","","",NA,26,NA,27.51161,-82.56415,NA,"R-061","Mix (estuarine and upland)","Restoration","","","","","",""
NA,2000,"Region 4","FL","Tampa Bay Estuary Program","Peri Island Salt Marsh Restoration","marsh plants installed","","","","","","","","","Tampa Bay Watch","","","","","","","","","","","","",NA,1,NA,27.8108,-82.7954,NA,"E-045","Estuarine","Maintenance","","","","","",""
NA,2000,"Region 4","FL","Tampa Bay Estuary Program","Spoil Island Boca Ciega Bay Salt Marsh Restoration","Planting of Spartina alterniflora","","","","","","","","","Tampa Bay Watch","","","","","","","","","","","","",NA,1,NA,27.816,-82.7981,NA,"E-046","Estuarine","Maintenance","","","","","",""
NA,2001,"Region 4","FL","Tampa Bay Estuary Program","Davis Tract Salt Marsh Restoration","regrading of slopes and marsh planting","","","","","","","","","Tampa Bay Watch","","","","","","","","","","","","",NA,7,NA,27.8346,-82.3957,NA,"R-062","Estuarine","Restoration","","","","","",""
NA,2001,"Region 4","FL","Tampa Bay Estuary Program","Fort Brooke Park Shoreline Restoration","dock and warf removal, shoreline restoration revegetated with wetland and coastal habitat plants","","","","","","","","","City of Tampa","SWFWMD","","","","","","","","","","","",NA,1,NA,27.94722,-82.45833,NA,"R-063","Estuarine","Restoration","","","","","",""
NA,2001,"Region 4","FL","Tampa Bay Estuary Program","Fort Brooke Salt Marsh Restoration","Planting of Spartina alterniflora","","","","","","","","","City of Tampa","NOAA, TBW, SWFWMD-SWIM","","","","","","","","","","","",NA,0.5,NA,27.9417,-82.4583,NA,"E-047","Estuarine","Maintenance","","","","","",""
NA,2001,"Region 4","FL","Tampa Bay Estuary Program","Grandview Park","Exotic removal","","","","","","","","","City of St. Petersburg Parks Department","","","","","","","","","","","","",NA,2.5,NA,27.73646,-82.64011,NA,"E-048","Estuarine","Maintenance","","","","","",""
NA,2001,"Region 4","FL","Tampa Bay Estuary Program","MacDill Airforce Base Salt Marsh Restoration","Planting of Spartina alterniflora","","","","","","","","","Tampa Bay Watch","","","","","","","","","","","","",NA,3,NA,27.8215,-82.4747,NA,"E-049","Estuarine","Maintenance","","","","","",""
NA,2001,"Region 4","FL","Tampa Bay Estuary Program","Red Maple Swamp (Allen's Creek)","Excavation and re-establishment of marsh","","","Excavation, Planting of native species","","","","","","City of Clearwater","SWIM, PCDEM","","","","","","","","","","","",NA,8.2,NA,27.95023,-82.75122,NA,"R-064","Freshwater","Restoration","","","","","",""
NA,2001,"Region 4","FL","Tampa Bay Estuary Program","Wolf Branch Creek 1","estuarine wetlands, open water, tidal creek, freshwater wetlands and uplands","","","estuarine wetlands, open water, tidal creek, freshwater wetlands and uplands","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,181,NA,27.74195,-82.44072,NA,"R-065","Mix (estuarine, freshwater, and upland)","Restoration","","","","","",""
NA,2001,"Region 4","FL","Tampa Bay Estuary Program","Wolf Branch Creek 2","re-establish tidal flow to estuarine wetlands -enhancement only","","","re-establish tidal flow to estuarine wetlands -enhancement only","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,134,NA,27.74651,-82.44698,NA,"R-066","Estuarine","Restoration","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Cypress Point Park Restoration","Coastal upland enhancement","","","","","","","","","City of Tampa","","","","","","","","","","","","",NA,12.7,NA,27.95087,-82.5418,NA,"E-050","Uplands","Maintenance","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Davis Tract","estuarine open water and wetlands and uplands","","","Regrading, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,60,NA,27.82913,-82.38796,NA,"R-067","Mix (estuarine and upland)","Restoration","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Dog Leg Key","Planting of Spartina alterniflora","","","Planting of Spartina alterniflora","","","","","","FDEP Aquatic Preserves","","","","","","","","","","","","",NA,0.01,NA,27.80226,-82.76168,NA,"E-051","Estuarine","Maintenance","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","E.G. Simmons Park Salt Marsh Restoration: Phase 1","Planting of Spartina alterniflora","","","","","","","","","Tampa Bay Watch","NOAA","","","","","","","","","","","",NA,1.5,NA,27.9731,-82.5736,NA,"E-052","Estuarine","Maintenance","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Green Key 1","Oyster bar creation, Control erosion,","","","","","","0","Oyster bar creation","","Audubon of Florida","","","","","","","","","","","","",NA,NA,NA,27.81842,-82.39972,300,"LS-007","Estuarine","Restoration","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Mckay Bay Nature Park","Upland restoration, exotic restoration","","","","","","","","","City of Tampa Parks and Recreation Department","","","","","","","","","","","","",NA,5,NA,27.9494,-82.41815,NA,"E-053","Uplands","Maintenance","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Rocky/Brushy (Sheldon Road at Memorial Highway)","Establishment of brackist forested wetland","","","Control of exotics/invasive plants as Maintenance","","","","","","Hillsborough County","","","","","","","","","","","","",NA,62,NA,27.99967,-82.58379,NA,"E-054","Estuarine","Maintenance","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Tarpon Key Salt Marsh Restoration","intertidal wetland along shoreline of Southwest side of island","","","habitat establishment-Spartina alterniflora planted","","","","","","USFWS","","","","","","","","","","","","",NA,2.5,NA,27.66561,-82.69107,NA,"E-055","Estuarine","Maintenance","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 1","restoration of coastal uplands by clearing, mulching, planting, invasive removal and replanting along Terra Ceia Bay","","","Exotic removal, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,121.3,NA,27.59717,-82.54755,NA,"E-056","Uplands","Maintenance","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 2","Exotic removal, planting","","","Exotic removal, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,28,NA,27.58768,-82.5689,NA,"E-057","Uplands","Maintenance","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Whiskey Stump Key 1","oyster shell reefs built along shoreline","","","","","","0","Creation of oyster habitat (oyster shell reef)","","Audubon of Florida","","","","","","","","","","","","",NA,NA,NA,27.81488,-82.402,300,"LS-008","Estuarine","Restoration","","","","","",""
NA,2002,"Region 4","FL","Tampa Bay Estuary Program","Whiskey Stump Key Salt Marsh Restoration","Erosion control","","","Planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,0.01,NA,27.8142,-82.4019,NA,"E-058","Estuarine","Maintenance","","","","","",""
NA,2003,"Region 4","FL","Tampa Bay Estuary Program","Al Palonis Park Oyster Restoration","Oyster shell reefs built along shoreline","","","","","","0","Creation of oyster habitat (oyster shell reef)","","Tampa Bay Watch","NOAA","","","","","","","","","","","",NA,NA,NA,27.89274,-82.54082,750,"LS-009","Estuarine","Restoration","","","","","",""
NA,2003,"Region 4","FL","Tampa Bay Estuary Program","Bayshore Boulevard: Phase 1","Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines","","","","","","0","Creatin of oyster habitat (oyster dome)","","Tampa Bay Watch","","","","","","","","","","","","",NA,NA,NA,27.87426,-82.48695,100,"LS-012","Estuarine","Restoration","","","","","",""
NA,2003,"Region 4","FL","Tampa Bay Estuary Program","Cockroach Bay Freshwater Wetlands","Creation of freshwater wetland, in part FDOT mitigation","","","Substrate modification, planting","","","","","","Hillsborough County Expressway Authority","","","","","","","","","","","","",NA,25,NA,27.68984,-82.50751,NA,"R-068","Freshwater","Restoration","","","","","",""
NA,2003,"Region 4","FL","Tampa Bay Estuary Program","Cockroach Bay Island Exotic Plant Removal","primarily planting of estuarine and upland plants","","","","","","","","","Hillsborough County Environmental Lands and Acquisition","","","","","","","","","","","","",NA,50,NA,27.683,-82.508,NA,"E-059","Uplands","Maintenance","","","","","",""
NA,2003,"Region 4","FL","Tampa Bay Estuary Program","Demen's Landing","Reef Balls®, a.k.a. ""oyster domes"" placed along seawalls and shorelines","","","","","","0","Creation of oyster habitat (oyster dome)","","Tampa Bay Watch","","","","","","","","","","","","",NA,NA,NA,27.76983,-82.63218,490,"LS-010","Estuarine","Restoration","","","","","",""
NA,2003,"Region 4","FL","Tampa Bay Estuary Program","E.G. Simmons Park Salt Marsh Restoration: Phase 2","Planting of Spartina alterniflora","","","","","","","","","Tampa Bay Watch","","","","","","","","","","","","",NA,1,NA,27.7333,-82.4667,NA,"E-060","Estuarine","Maintenance","","","","","",""
